Thinking Process:

1.  **Analyze the Request:**
    *   **Topic:** Electrical conductivity.
    *   **Subjects:** Copper (conductor) vs. Rubber (insulator).
    *   **Task:** Explain *why* copper conducts electricity well while rubber does not.
    *   **Target Audience:** General audience (needs to be clear, accurate, but not overly technical unless necessary).

2.  **Identify Key Concepts:**
    *   Atomic structure (electrons).
    *   Valence electrons / Free electrons.
    *   Energy bands (Valence band vs. Conduction band) - *Maybe too technical? Keep it simple first, add as nuance.*
    *   Bonding (Metallic vs. Covalent).
    *   Movement of charge carriers.

3.  **Drafting the Explanation - Step-by-Step:**

    *   **Introduction:** State the basic difference (conductor vs. insulator).
    *   **Copper (The Conductor):**
        *   Focus on atoms and electrons.
        *   Mention "free electrons" or "sea of electrons."
        *   Explain that these electrons are loosely bound
