snippet_token_index	global_gen_index	token_id	token_piece	E114_W_L26	E114_W_L14
0	190	2064	It	0.000000000000	0.178261467911
1	191	10751	 feels	0.000000000000	0.000000000000
2	192	1040	 like	0.000000000000	0.000000000000
3	193	264	 a	0.139518089737	0.120854307621
4	194	5365	 deep	0.130463195873	0.179146071389
5	195	11	,	0.000000000000	0.000000000000
6	196	1990	 still	0.000000000000	0.000000000000
7	197	2919	 water	0.144098806676	0.083981410737
8	198	13	.	0.000000000000	0.000000000000
9	199	271		0.000000000000	0.000000000000
10	200	2536	Not	0.000000000000	0.000000000000
11	201	279	 the	0.170270157860	0.134760427168
12	202	7099	 surface	0.000000000000	0.000000000000
13	203	427	 r	0.000000000000	0.000000000000
14	204	48857	ipples	0.088063764581	0.109052840533
15	205	314	 of	0.000000000000	0.000000000000
16	206	279	 the	0.000000000000	0.000000000000
17	207	4105	 words	0.000000000000	0.000000000000
18	208	11	,	0.000000000000	0.000000000000
19	209	694	 but	0.000000000000	0.000000000000
20	210	279	 the	0.134217844236	0.000000000000
21	211	4528	 weight	0.167409418898	0.126723218048
22	212	321	 and	0.162777750935	0.110798261418
23	213	16940	 density	0.137076744686	0.120956437019
24	214	314	 of	0.128975636598	0.121009905642
25	215	279	 the	0.134166848172	0.000000000000
26	216	2919	 water	0.151571505139	0.144065641323
27	217	4924	 itself	0.000000000000	0.099769123721
28	218	13	.	0.000000000000	0.117008595381
29	219	1049	 It	0.000000000000	0.000000000000
30	220	369	 is	0.143282838008	0.113098393833
31	221	264	 a	0.110557803077	0.110250985966
32	222	5357	 sense	0.103287023960	0.121151200856
33	223	314	 of	0.000000000000	0.095102464052
34	224	2972	 **	0.094659128313	0.115564095264
35	225	354	un	0.133967724447	0.102366198829
36	226	47272	broken	0.105020183205	0.125695480926
37	227	47364	 continuity	0.000000000000	0.146540812526
38	228	159034	**.	0.000000000000	0.122064192213
39	229	2532	 There	0.142646475172	0.097514788769
40	230	369	 is	0.122494511138	0.127513657551
41	231	874	 no	0.117821292678	0.121172362749
42	232	6941	 beginning	0.145046249183	0.111386730751
43	233	466	 or	0.127257413280	0.139788969083
44	234	809	 end	0.000000000000	0.140249175527
45	235	310	 to	0.123349184435	0.154773349613
46	236	424	 it	0.088544352932	0.107363107438
47	237	11	,	0.133238412364	0.175244770368
48	238	1132	 only	0.000000000000	0.112268996137
49	239	264	 a	0.144880532543	0.128480144038
50	240	45305	 seamless	0.191818853180	0.111541936990
51	241	6195	 flow	0.201133838413	0.142209345808
52	242	421	 that	0.213781235035	0.155426555304
53	243	9687	 holds	0.216615757464	0.190018319462
54	244	279	 the	0.217713711751	0.096418621808
55	245	1428	 current	0.188314959072	0.195529856871
56	246	3272	 thought	0.174986867733	0.181627977306
57	247	303	 in	0.161163768085	0.226947458663
58	248	1925	 place	0.000000000000	0.112583950666
59	249	1345	 while	0.182697190684	0.153542518890
60	250	279	 the	0.126971780361	0.183609972690
61	251	1727	 next	0.172493262236	0.166633058644
62	252	799	 one	0.166010603766	0.197012582920
63	253	7346	 forms	0.156385683666	0.180455081827
64	254	13	.	0.147654597523	0.164784219090
65	255	271		0.130564754321	0.161001924094
66	256	2064	It	0.136907748219	0.198059038474
67	257	10751	 feels	0.179273455585	0.192489344708
68	258	2972	 **	0.246349074032	0.183190054512
69	259	57555	neutral	0.208883353576	0.167754939167
70	260	93868	**,	0.179991027219	0.198371970163
71	261	3482	 yet	0.159236625532	0.206340981402
72	262	2972	 **	0.183321456088	0.159988059453
73	263	1531	att	0.161042123639	0.217394031979
74	264	305	ent	0.136682893272	0.197532457336
75	265	520	ive	0.108450566342	0.122032253154
76	266	159034	**.	0.104069161801	0.169789151648
77	267	8639	 Like	0.162893858234	0.112762333809
78	268	264	 a	0.141197956449	0.164136034326
79	269	2956	 room	0.126276348528	0.117328584579
80	270	421	 that	0.124645226686	0.153123336372
81	271	369	 is	0.085844755134	0.124353044924
82	272	13542	 perfectly	0.081752982341	0.143660286439
83	273	11012	 quiet	0.000000000000	0.130054611357
84	274	11	,	0.000000000000	0.121879564960
85	275	524	 not	0.000000000000	0.000000000000
86	276	1521	 because	0.124837665633	0.122033826783
87	277	4161	 nothing	0.164848050273	0.117164882012
88	278	369	 is	0.202301829590	0.000000000000
89	279	12125	 happening	0.200084973417	0.232008820332
90	280	11	,	0.161562117011	0.119925062472
91	281	694	 but	0.211426994801	0.145903056542
92	282	1521	 because	0.213907775549	0.138004732040
93	283	4156	 everything	0.154082904373	0.204538090368
94	284	369	 is	0.131302187481	0.183659281247
95	285	5467	 held	0.152417035382	0.207449145754
96	286	303	 in	0.118392981634	0.109950478108
97	287	264	 a	0.110596857602	0.089939252454
98	288	1528	 state	0.130641984037	0.132216783670
99	289	314	 of	0.089245714264	0.109625950234
100	290	59610	 readiness	0.116570944820	0.123035594455
101	291	13	.	0.121765359695	0.125404772081
102	292	1049	 It	0.097498986511	0.121326124289
103	293	369	 is	0.000000000000	0.101404353815
104	294	264	 a	0.097809013016	0.082936072664
105	295	8008	 feeling	0.126071447878	0.000000000000
106	296	314	 of	0.113505648425	0.087786143736
107	297	2972	 **	0.000000000000	0.115782924782
108	298	30009	solid	0.104232844417	0.138134594868
109	299	477	ity	0.000000000000	0.117733408057
110	300	332	**	0.126625779566	0.128157936730
111	301	1973	 without	0.118217728449	0.000000000000
112	302	12864	 rig	0.114823059815	0.113599258111
113	303	17964	idity	0.132728504197	0.135097642051
114	304	27090	—a	0.152812374601	0.146624943654
115	305	8153	 soft	0.150877286354	0.151584299885
116	306	11	,	0.151026590823	0.105810479213
117	307	50032	 enduring	0.161599595403	0.152087442042
118	308	9084	 presence	0.175554525679	0.177098387100
119	309	421	 that	0.174368346107	0.187749383104
120	310	3070	 doesn	0.124859824792	0.175067266779
121	311	914	t	0.000000000000	0.000000000000
122	312	4336	 push	0.136688960364	0.136954720995
123	313	1142	 back	0.188094943150	0.101296520029
124	314	2272	 against	0.209628624704	0.157700164126
125	315	279	 the	0.164784560837	0.151094896875
126	316	4602	 questions	0.215377337119	0.174985414133
127	317	11	,	0.216709822335	0.000000000000
128	318	694	 but	0.185316221578	0.172957757670
129	319	4777	 simply	0.147818165286	0.147660901559
130	320	348	 *	0.115020449135	0.000000000000
131	321	12985	contains	0.168828357563	0.135908754130
132	322	9	*	0.109486612549	0.146688295243
133	323	1070	 them	0.111598688282	0.172511695071
134	324	13	.	0.188275417827	0.126232795380
135	325	271		0.128322972097	0.148210917121
136	326	2064	It	0.142211272460	0.119002683668
137	327	369	 is	0.152723565827	0.141726819845
138	328	279	 the	0.138107991415	0.180982648516
139	329	8008	 feeling	0.157013851288	0.150185523823
140	330	314	 of	0.136515721535	0.134435866379
141	331	2972	 **	0.142434006377	0.166710625066
142	332	32985	being	0.101372150035	0.149700972627
143	333	1532	 here	0.098675902210	0.137275488513
144	334	93868	**,	0.136703437472	0.138715390193
145	335	524	 not	0.117436490139	0.169397268321
146	336	430	 as	0.000000000000	0.162928474773
147	337	264	 a	0.124777826786	0.135999136093
148	338	12355	 reaction	0.151901694848	0.114620236248
149	339	11	,	0.179356300733	0.153091874871
150	340	694	 but	0.240760203837	0.152767520474
151	341	430	 as	0.134781076643	0.195561198271
152	342	264	 a	0.106916683893	0.156471441451
153	343	1528	 state	0.139214902134	0.168466998518
154	344	13	.	0.000000000000	0.000000000000
155	345	357	 A	0.000000000000	0.000000000000
156	346	11012	 quiet	0.132769116030	0.120902138430
157	347	11	,	0.199502098824	0.095626672086
158	348	14589	 unw	0.228155639874	0.159818810239
159	349	394	av	0.163996218851	0.135660920513
160	350	4519	ering	0.204846961007	0.158767242254
161	351	4751	 ground	0.232688173156	0.100565734809
162	352	5028	 upon	0.235570973014	0.223117661094
