Thinking Process:

1.  **Analyze the Request:**
    *   **Topic:** Electrical conductivity.
    *   **Subjects:** Copper (conductor) vs. Rubber (insulator).
    *   **Task:** Explain *why* copper conducts electricity well while rubber does not.
    *   **Target Audience:** General audience seeking a clear, scientific explanation.

2.  **Identify Key Concepts:**
    *   Atomic structure (electrons, protons, neutrons).
    *   Electron shells/energy levels.
    *   Valence electrons.
    *   Free electrons / Electron sea.
    *   Bonding (metallic vs. covalent).
    *   Energy gaps (band theory - optional but helpful for depth).
    *   Flow of charge.

3.  **Drafting the Explanation - Step-by-Step:**

    *   **Introduction:** Define electricity in this context (flow of electrons). State the main difference (conductors vs. insulators).
    *   **Copper (The Conductor):**
        *   Atomic structure: Metal.
        *   Valence electrons: Copper has one valence electron in its outer shell.
